;codigoPalamentar;NomeParlamentar;NomeCompletoParlamentar
0;4981;Acir Gurgacz;Acir Marcos Gurgacz
1;5982;Alessandro Vieira;Alessandro Vieira
2;4610;Alexandre Silveira;Alexandre Silveira de Oliveira
3;945;Alvaro Dias;Alvaro Fernandes Dias
4;5967;Angelo Coronel;Angelo Mario Coronel de Azevedo Martins
5;6295;Carlos Fávaro;Carlos Henrique Baqueta Fávaro
6;5936;Carlos Portinho;Carlos Francisco Portinho
7;5990;Carlos Viana;Carlos Alberto Dias Viana
8;470;Chico Rodrigues;Francisco de Assis Rodrigues
9;475;Confúcio Moura;Confúcio Aires Moura
10;5998;Daniella Ribeiro;Daniella Velloso Borges Ribeiro
11;3830;Davi Alcolumbre;David Samuel Alcolumbre Tobelem
12;5537;Dário Berger;Dário Elias Berger
13;4994;Eduardo Braga;Carlos Eduardo de Souza Braga
14;5976;Eduardo Girão;Luis Eduardo Grangeiro Girão
15;5898;Eliane Nogueira;Eliane e Silva Nogueira Lima
16;5718;Eliziane Gama;Eliziane Pereira Gama Melo
17;5531;Elmano Férrer;Elmano Férrer de Almeida
18;22;Esperidião Amin;Esperidião Amin Helou Filho
19;5953;Fabiano Contarato;Fabiano Contarato
20;5540;Fernando Bezerra Coelho;Fernando Bezerra de Souza Coelho
21;4525;Fernando Collor;Fernando Affonso Collor de Mello
22;345;Flávio Arns;Flávio José Arns
23;5894;Flávio Bolsonaro;Flávio Nantes Bolsonaro
24;6008;Giordano;Alexandre Luiz Giordano
25;5639;Guaracy Silveira;Guaracy Batista da Silveira
26;5008;Humberto Costa;Humberto Sérgio Costa Lima
27;5385;Irajá;Irajá Silvestre Filho
28;6010;Ivete da Silveira;Ivete Marli Appel da Silveira
29;4770;Izalci Lucas;Izalci Lucas Ferreira
30;35;Jader Barbalho;Jader Fontenelle Barbalho
31;581;Jaques Wagner;Jaques Wagner
32;4545;Jarbas Vasconcelos;Jarbas de Andrade Vasconcelos
33;4531;Jayme Campos;Jayme Veríssimo de Campos
34;5627;Jean Paul Prates;Jean Paul Terra Prates
35;5895;Jorge Kajuru;Jorge Kajuru Reis da Costa Nasser
36;90;José Serra;José Serra
37;5972;Julio Ventura;Julio Ventura Neto
38;5533;Lasier Martins;Lasier Costa Martins
39;5979;Leila Barros;Leila Gomes de Barros Rêgo
40;5926;Lucas Barreto;Luiz Cantuária Barreto
41;1186;Luis Carlos Heinze;Luis Carlos Heinze
42;5585;Luiz Carlos do Carmo;Luiz Carlos do Carmo
43;151;Luiz Pastore;Luiz Osvaldo Pastore
44;5557;Mailza Gomes;Mailza Assis da Silva
45;5376;Mara Gabrilli;Mara Cristina Gabrilli
46;742;Marcelo Castro;Marcelo Costa e Castro
47;285;Marcio Bittar;Márcio Miguel Bittar
48;5422;Marcos Rogério;Marcos Rogério da Silva Brito
49;5942;Marcos do Val;Marcos Ribeiro do Val
50;5908;Maria das Vitórias;Maria das Vitórias Soares de Medeiros
51;1023;Maria do Carmo Alves;Maria do Carmo do Nascimento Alves
52;6027;Mecias de Jesus;Antônio Mecias Pereira de Jesus
53;5985;Nelsinho Trad;Nelson Trad Filho
54;5281;Nilda Gondim;Ozanilda Gondim Vital do Rego
55;6006;Ogari Pacheco;Ogari de Castro Pacheco
56;5525;Omar Aziz;Omar José Abdel Aziz
57;5924;Oriovisto Guimarães;Oriovisto Guimaraes
58;5523;Otto Alencar;Otto Roberto Mendonça de Alencar
59;825;Paulo Paim;Paulo Renato Paim
60;374;Paulo Rocha;Paulo Roberto Galvão da Rocha
61;5502;Plínio Valério;Francisco Plínio Valério Tomaz
62;5012;Randolfe Rodrigues;Randolph Frederich Rodrigues Alves
63;5236;Reguffe;José Antônio Machado Reguffe
64;70;Renan Calheiros;José Renan Vasconcelos Calheiros
65;5892;Roberth Bringel;Raimundo Roberth Bringel Martins
66;677;Roberto Rocha;Roberto Coelho Rocha
67;5905;Rodrigo Cunha;Rodrigo Santos Cunha
68;5732;Rodrigo Pacheco;Rodrigo Otavio Soares Pacheco
69;5352;Rogério Carvalho;Rogério Carvalho Santos
70;5322;Romário;Romario de Souza Faria
71;5527;Simone Tebet;Simone Nassar Tebet
72;5988;Soraya Thronicke;Soraya Vieira Thronicke
73;5959;Styvenson Valentim;Eann Styvenson Valentim Mendes
74;3396;Tasso Jereissati;Tasso Ribeiro Jereissati
75;5535;Telmário Mota;Telmário Mota de Oliveira
76;5899;Vanderlan Cardoso;Vanderlan Vieira Cardoso
77;5748;Veneziano Vital do Rêgo;Veneziano Vital do Rêgo Segundo Neto
78;1173;Wellington Fagundes;Wellington Antonio Fagundes
79;5783;Zenaide Maia;Zenaide Maia Calado Pereira dos Santos
80;3806;Zequinha Marinho;José da Cruz Marinho
